horaire,titre,artiste
2023-05-09 20:23:00,LA JAVANAISE,KHRUANGBIN  LAURA LEE  MARK SPEER  DONALD JOHNSON
2023-05-09 20:25:00,A KIND OF MAGIC,QUEEN
2023-05-09 20:30:00,SOMETHING MORE,NABIHAH IQBAL
2023-05-09 20:32:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 20:33:00,ACHETHKHII,LES ABRANIS
2023-05-09 20:37:00,LE GENDARME SE MARIE  : LE GENDARME POP,RAYMOND LEFEVRE
2023-05-09 20:41:00,TWIST A ST TROPEZ,TELEX
2023-05-09 20:43:00,ISN'T IT LOVELY,GRACE IVES
2023-05-09 20:46:00,DO YOU LIKE ME?,DANIEL CAESAR
2023-05-09 20:50:00,LOSALAMITOS LATINFUNKLOVESONG,GENE HARRIS
2023-05-09 20:52:00,SUZANNE,LEONARD COHEN
2023-05-09 20:56:00,COCONUT,HARRY NILSSON
2023-05-09 21:00:00,BEES,ALASKALASKA  LUCINDA DUARTE-HOLMAN  FRASER RIELEY  CALUM DUNCAN  FRASER SMITH
2023-05-09 21:04:00,MUSIC IS FUN ,THE GRAND JURY
2023-05-09 21:07:00,INWOOD HILL PARK,6LACK
2023-05-09 21:11:00,HELLO THERE,THEADORA IFUDU
2023-05-09 21:14:00,GOLD DAYZZ,ULTRAISTA
2023-05-09 21:17:00,TALENTLESS BUT CONNECTED,JAZE BAQTI
2023-05-09 21:20:00,KALIMBA SUITE,BOBBY MCFERRIN
2023-05-09 21:24:00,FEVER,RAY CHARLES  NATALIE COLE
2023-05-09 21:27:00,HALFWAY,BALTHAZAR
2023-05-09 21:30:00,OUTRO TAO,SU-PAKA-POOH  DIVERS
2023-05-09 21:32:00,PANAMA PANAME,CLEA VINCENT
2023-05-09 21:36:00,ROSA MENINA ROSA,JORGE BEN
2023-05-09 21:39:00,AMERICAN LOVER,GAYA
2023-05-09 21:43:00,MAOSCOLORIDA,OS MULHERES NEGRAS
2023-05-09 21:47:00,CHAGRIN VIOLETTE,JEAN LOUIS MURAT AND THE DELANO ORCHESTRA
2023-05-09 21:50:00,SULWE,ELSY WAMEYO
2023-05-09 21:53:00,OFTEN HARD TO BELIEVE,NICOLE MITCHELL  UGOCHI  PHAREZ WHITTED  TOMEKA REID  RENE BAKER  MIGUEL DE LA CERNA  HARRISON BANKHEAD  TOMAS FUJIWARA
2023-05-09 21:58:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 22:01:00,BERLIN PARIS,ET.NU  LEA MARIA FRIES  JULIEN HERNE
2023-05-09 22:06:00,STEAL YOUR HEART AWAY,SHORT 66
2023-05-09 22:09:00,FLIGHT OF SAGITTARIUS ,DIOGO STRAUSZ
2023-05-09 22:12:00,SMOKE ON THE WATER,SENOR COCONUT
2023-05-09 22:17:00,LA FILLE AU PISTOLET : RAPIMENTO IN SICILIA,PEPPINO DE LUCA
2023-05-09 22:19:00,HARD TIMES,RUN DMC
2023-05-09 22:22:00,THIRD ROCK,PURE ESSENCE
2023-05-09 22:27:00,ONDULE,MATHIEU BOOGAERTS
2023-05-09 22:30:00,SAMBA DE DUAS NOTAS,LUIZ BONFA
2023-05-09 22:33:00,JOU EN NOU RIVE ,LAURENT BARDAINNE  TIGRE D'EAU DOUCE
2023-05-09 22:37:00,TIME MOVES ON,THE NUDE PARTY
2023-05-09 22:42:00,BALLAD OF ACR,A CERTAIN RATIO
2023-05-09 22:46:00,FEMME COSMIC,SUZANNE KRAFT
2023-05-09 22:49:00,COMPUTER LOVE,POLYCOOL
2023-05-09 22:53:00,JUMP AROUND,THE BANJO LOUNGE 4
2023-05-09 22:57:00,FRIDAY'S CHILD,LEE HAZLEWOOD
2023-05-09 22:59:00,"PLEASE, MR. POSTMAN",THE MARVELETTES
2023-05-09 23:02:00,MELODY LIFE,HORTENSE ELLIS
2023-05-09 23:05:00,RECONCILIATION,PARENTAL  FIGUB BRAZLEVIC  PARENTAL  FIGUB BRAZLEVIC
